Local Health Jurisdiction,Census Tract,Number of indicators,At least 25% of the residential parcels were built before 1978,Census tract is within 1.7 miles of a current or former lead emitting facility,"Census tract is within 1,000 feet of a state highway",Census tract is within the city of a known current or historic smelter,Census tract is within 1 km of an airport using leaded avgas,Census tract is within 1 km of a railroad,"Census tract is within 1,000 feet of a speedway",Census tract is served by a water district with at least one known leaded service line or fitting
Alameda,06001400100,3,No,No,Yes,Yes,No,No,No,Yes
Alameda,06001400200,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001400300,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001400400,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001400500,4,Yes,Yes,No,Yes,No,No,No,Yes
Alameda,06001400600,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001400700,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001400800,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001400900,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001401000,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001401100,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001401200,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001401300,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001401400,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001401500,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001401600,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001401700,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001401800,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001402200,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001402400,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001402500,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001402600,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001402700,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001402801,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001402802,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001402900,4,Yes,Yes,No,Yes,No,No,No,Yes
Alameda,06001403000,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001403100,5,No,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001403301,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001403302,5,Yes,No,Yes,Yes,No,Yes,No,Yes
Alameda,06001403401,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001403402,4,No,Yes,No,Yes,No,Yes,No,Yes
Alameda,06001403501,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001403502,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001403600,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001403701,4,Yes,Yes,No,Yes,No,No,No,Yes
Alameda,06001403702,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001403800,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001403900,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001404000,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001404101,3,Yes,No,No,Yes,No,No,No,Yes
Alameda,06001404102,3,Yes,No,No,Yes,No,No,No,Yes
Alameda,06001404200,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001404300,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001404400,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001404501,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001404502,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001404600,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001404700,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001404800,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001404900,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001405000,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001405100,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001405200,4,Yes,No,Yes,Yes,No,No,No,Yes
Alameda,06001405301,3,Yes,No,No,Yes,No,No,No,Yes
Alameda,06001405302,4,Yes,No,No,Yes,No,Yes,No,Yes
Alameda,06001405401,5,Yes,Yes,No,Yes,No,Yes,No,Yes
Alameda,06001405402,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001405500,5,Yes,Yes,No,Yes,No,Yes,No,Yes
Alameda,06001405600,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001405700,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001405800,5,Yes,Yes,No,Yes,No,Yes,No,Yes
Alameda,06001405901,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001405902,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001406000,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001406100,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001406201,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Alameda,06001406202,5,Yes,Yes,No,Yes,No,Yes,No,Yes
Alameda,06001406300,4,Yes,Yes,No,Yes,No,No,No,Yes
Alameda,06001406400,5,Yes,Yes,Yes,Yes,No,No,No,Yes
Alameda,06001406500,4,Yes,Yes,No,Yes,No,No,No,Yes
